tetelkod;tipuskod;nevkod;osszeg;bank;datum
103;1;22;18277,00 Ft;1;2005.7.1 0:00:00
104;1;36;5880,00 Ft;1;2005.7.4 0:00:00
105;1;18;3062,00 Ft;1;2005.7.7 0:00:00
106;1;15;10473,00 Ft;1;2005.7.7 0:00:00
107;1;5;3615,00 Ft;1;2005.7.7 0:00:00
108;1;12;5063,00 Ft;1;2005.7.8 0:00:00
109;1;20;3720,00 Ft;1;2005.7.14 0:00:00
110;1;19;3845,00 Ft;1;2005.7.18 0:00:00
111;1;16;3895,00 Ft;1;2005.7.19 0:00:00
112;1;6;5500,00 Ft;1;2005.7.19 0:00:00
113;1;36;6226,00 Ft;1;2005.7.21 0:00:00
114;1;16;3895,00 Ft;1;2005.8.3 0:00:00
115;1;36;9339,00 Ft;1;2005.7.12 0:00:00
116;1;14;22725,00 Ft;1;2005.8.1 0:00:00
117;1;14;3491,00 Ft;1;2005.7.29 0:00:00
118;5;8;-2705,00 Ft;1;2005.7.30 0:00:00
119;3;24;-65864,00 Ft;1;2005.7.7 0:00:00
120;16;53;-24796,00 Ft;1;2005.7.7 0:00:00
121;4;25;-6861,00 Ft;1;2005.7.7 0:00:00
122;1;17;4072,00 Ft;1;2005.8.11 0:00:00
123;10;54;-1614,00 Ft;0;2005.7.1 0:00:00
124;10;30;-5000,00 Ft;0;2005.5.23 0:00:00
125;10;30;-1547,00 Ft;0;2005.9.1 0:00:00
126;10;30;-2702,00 Ft;0;2005.4.30 0:00:00
127;10;47;-6000,00 Ft;0;2005.6.20 0:00:00
128;10;35;-2000,00 Ft;0;2005.6.22 0:00:00
129;1;4;10000,00 Ft;0;2005.6.10 0:00:00
130;1;2;9000,00 Ft;0;2005.5.30 0:00:00
131;10;30;-4942,00 Ft;0;2005.9.18 0:00:00
132;1;2;22000,00 Ft;0;2005.9.21 0:00:00
134;1;12;5063,00 Ft;1;2005.8.8 0:00:00
135;1;5;3615,00 Ft;1;2005.8.9 0:00:00
136;1;18;3062,00 Ft;1;2005.8.11 0:00:00
137;1;20;3720,00 Ft;1;2005.8.11 0:00:00
138;1;36;6226,00 Ft;1;2005.8.25 0:00:00
139;1;19;3845,00 Ft;1;2005.8.15 0:00:00
140;1;15;10473,00 Ft;1;2005.8.19 0:00:00
141;1;16;3895,00 Ft;1;2005.8.19 0:00:00
142;1;6;5500,00 Ft;1;2005.8.19 0:00:00
143;3;24;-65864,00 Ft;1;2005.8.23 0:00:00
144;2;26;-51332,00 Ft;1;2005.8.23 0:00:00
145;16;53;-12398,00 Ft;1;2005.8.23 0:00:00
146;4;25;-7630,00 Ft;1;2005.8.23 0:00:00
147;5;8;-3025,00 Ft;1;2005.8.31 0:00:00
148;1;20;7436,00 Ft;1;2005.2.23 0:00:00
149;1;18;3062,00 Ft;1;2005.9.6 0:00:00
150;1;12;5063,00 Ft;1;2005.9.6 0:00:00
151;1;7;20000,00 Ft;1;2005.9.28 0:00:00
152;10;47;-2400,00 Ft;0;2005.4.30 0:00:00
153;1;19;2400,00 Ft;0;2005.4.30 0:00:00
154;10;44;-479,00 Ft;0;2005.4.23 0:00:00
155;10;58;-4506,00 Ft;0;2005.4.12 0:00:00
156;1;17;5000,00 Ft;0;2005.4.15 0:00:00
157;1;5;3615,00 Ft;1;2005.9.7 0:00:00
158;1;14;3491,00 Ft;1;2005.9.13 0:00:00
159;1;20;3720,00 Ft;1;2005.9.15 0:00:00
160;1;16;3895,00 Ft;1;2005.9.16 0:00:00
161;1;11;37194,00 Ft;1;2005.9.22 0:00:00
162;1;21;13662,00 Ft;1;2005.9.22 0:00:00
163;1;17;4072,00 Ft;1;2005.9.22 0:00:00
164;1;19;3845,00 Ft;1;2005.9.23 0:00:00
165;1;36;3113,00 Ft;1;2005.9.23 0:00:00
166;1;23;10000,00 Ft;1;2005.9.23 0:00:00
167;1;22;18277,00 Ft;1;2005.9.29 0:00:00
168;1;13;31440,00 Ft;1;2005.9.30 0:00:00
169;1;13;20960,00 Ft;1;2005.9.30 0:00:00
170;1;13;10480,00 Ft;1;2005.9.30 0:00:00
171;1;6;5500,00 Ft;1;2005.9.20 0:00:00
172;5;8;-1745,00 Ft;1;2005.9.30 0:00:00
173;6;8;670,93 Ft;1;2005.9.30 0:00:00
174;1;20;3520,00 Ft;1;2005.10.27 0:00:00
175;1;23;10000,00 Ft;1;2005.10.17 0:00:00
176;1;17;3170,00 Ft;1;2005.10.25 0:00:00
177;1;19;3845,00 Ft;1;2005.10.24 0:00:00
178;1;12;5063,00 Ft;1;2005.10.10 0:00:00
179;1;17;12216,00 Ft;1;2005.10.6 0:00:00
180;1;14;3491,00 Ft;1;2005.10.6 0:00:00
181;1;5;3615,00 Ft;1;2005.10.7 0:00:00
182;1;6;5500,00 Ft;1;2005.10.19 0:00:00
183;2;26;-37551,00 Ft;1;2005.10.20 0:00:00
184;4;25;-18550,00 Ft;1;2005.10.20 0:00:00
185;5;8;-3642,00 Ft;1;2005.10.28 0:00:00
186;1;16;3895,00 Ft;1;2005.10.18 0:00:00
187;1;4;8804,00 Ft;1;2005.10.13 0:00:00
188;1;18;3062,00 Ft;1;2005.10.12 0:00:00
189;1;36;3113,00 Ft;1;2005.11.28 0:00:00
190;1;16;3895,00 Ft;1;2005.11.25 0:00:00
191;1;14;3491,00 Ft;1;2005.11.10 0:00:00
192;1;19;3845,00 Ft;1;2005.11.10 0:00:00
193;1;12;5063,00 Ft;1;2005.11.10 0:00:00
194;1;9;13360,00 Ft;1;2005.11.10 0:00:00
195;1;5;3615,00 Ft;1;2005.11.8 0:00:00
196;1;6;5500,00 Ft;1;2005.11.21 0:00:00
197;16;53;-12398,00 Ft;1;2005.11.9 0:00:00
198;3;24;-65864,00 Ft;1;2005.11.9 0:00:00
199;5;8;-2152,00 Ft;1;2005.11.30 0:00:00
200;1;17;4072,00 Ft;1;2005.12.1 0:00:00
201;1;5;3615,00 Ft;1;2005.12.7 0:00:00
202;1;14;3491,00 Ft;1;2005.12.12 0:00:00
203;1;19;3845,00 Ft;1;2005.12.14 0:00:00
204;1;16;3895,00 Ft;1;2005.12.14 0:00:00
205;1;20;7440,00 Ft;1;2005.12.14 0:00:00
206;1;12;5063,00 Ft;1;2005.12.16 0:00:00
207;1;6;5500,00 Ft;1;2005.12.20 0:00:00
208;1;36;3111,00 Ft;1;2005.12.23 0:00:00
209;1;17;4070,00 Ft;1;2005.12.29 0:00:00
210;1;21;13662,00 Ft;1;2005.12.30 0:00:00
211;6;8;1164,35 Ft;1;2005.12.30 0:00:00
212;1;20;4200,00 Ft;1;2005.12.30 0:00:00
213;3;24;-65864,00 Ft;1;2005.12.28 0:00:00
214;16;53;-40046,00 Ft;1;2005.12.28 0:00:00
215;2;26;-31801,00 Ft;1;2005.12.28 0:00:00
216;4;25;-10503,00 Ft;1;2005.12.28 0:00:00
217;5;8;-2680,00 Ft;1;2005.12.30 0:00:00
218;1;18;6124,00 Ft;1;2005.12.19 0:00:00
219;10;30;-4294,00 Ft;0;2005.5.5 0:00:00
220;10;60;-2005,00 Ft;0;2005.9.8 0:00:00
221;10;61;-3990,00 Ft;0;2005.9.7 0:00:00
222;10;62;-8000,00 Ft;0;2005.11.6 0:00:00
223;10;63;-1720,00 Ft;0;2005.12.28 0:00:00
224;10;30;-3033,00 Ft;0;2005.10.8 0:00:00
226;1;17;6000,00 Ft;0;2005.10.10 0:00:00
227;1;4;15000,00 Ft;0;2005.11.8 0:00:00
228;10;30;-8640,00 Ft;0;2005.12.29 0:00:00
229;10;66;-3510,00 Ft;0;2005.8.30 0:00:00
230;10;64;-2200,00 Ft;0;2005.11.2 0:00:00
231;10;65;-2011,00 Ft;0;2005.12.9 0:00:00
232;1;18;4298,00 Ft;0;2005.10.10 0:00:00
