jarmuazonosito;tipusazonosito;szin;ar;diesel;beadas;elkelt
67;22;zöld;3340000;0;2007.7.17;2007.9.14
68;13;fekete;4960000;0;2007.2.8;
69;33;piros;3610000;1;2006.11.28;
70;32;barna;1160000;1;2007.8.1;
71;37;kék;2500000;0;2006.10.31;2006.12.21
72;19;fekete;5920000;1;2007.2.17;
73;20;lila;4980000;0;2007.3.9;
74;11;fehér;5190000;0;2007.3.31;2007.6.18
75;37;zöld;950000;0;2006.11.27;
76;23;szürke;4370000;0;2007.7.26;2007.8.17
77;40;sárga;1210000;1;2007.4.9;
78;7;barna;4240000;0;2007.4.16;
79;8;barna;4740000;0;2007.4.3;2007.4.19
80;16;lila;4250000;0;2006.11.21;
81;22;sárga;560000;1;2007.7.23;
82;13;szürke;3630000;0;2007.5.25;
83;18;barna;1530000;1;2006.12.17;2007.1.12
84;19;barna;1760000;0;2006.10.21;
85;35;piros;2110000;1;2007.2.20;
86;7;sárga;2850000;0;2007.1.3;
87;30;fekete;2430000;1;2007.1.3;
88;18;fekete;5690000;0;2006.10.7;
89;11;barna;6020000;1;2007.4.3;
90;27;barna;1570000;1;2007.6.26;2007.7.9
91;38;kék;2930000;0;2007.7.5;
92;34;fekete;6450000;0;2007.2.26;2007.5.13
93;29;szürke;1110000;0;2006.12.5;
94;15;sárga;6150000;1;2007.5.25;
95;38;sárga;4630000;1;2007.7.5;2007.9.18
96;20;barna;2810000;0;2006.12.15;2007.2.24
97;30;fehér;5980000;1;2007.4.24;
98;4;zöld;4640000;1;2007.4.26;2007.5.6
99;2;fehér;3390000;1;2007.5.17;
100;31;barna;3640000;0;2006.12.7;
101;6;fehér;5940000;1;2007.6.9;2007.8.18
102;37;piros;5130000;0;2006.11.9;
103;12;sárga;4150000;0;2007.2.21;2007.3.5
104;20;lila;2220000;1;2007.3.18;
105;36;sárga;4050000;0;2007.3.4;2007.3.25
106;1;zöld;5230000;0;2007.2.13;
107;14;zöld;1850000;0;2007.7.13;
108;18;zöld;6490000;1;2007.7.1;2007.9.10
109;25;barna;4510000;0;2007.3.10;
110;34;szürke;720000;1;2006.10.11;2006.12.18
111;11;sárga;2810000;1;2007.1.7;
112;34;fekete;840000;0;2007.3.30;2007.4.18
113;18;zöld;860000;0;2007.1.21;
114;33;piros;3780000;1;2007.4.5;2007.4.13
115;19;fehér;2210000;1;2007.3.16;
116;31;fehér;2980000;1;2007.4.30;2007.7.16
117;3;piros;5800000;0;2007.1.22;
118;24;sárga;4580000;1;2007.7.7;2007.8.31
119;20;barna;1090000;0;2006.12.8;
120;38;szürke;2790000;1;2006.10.13;2006.12.12
121;7;fekete;2830000;1;2007.2.3;
122;7;barna;2420000;0;2007.6.13;2007.7.26
123;3;fekete;5850000;0;2006.11.25;
124;14;zöld;3900000;1;2006.12.21;
125;9;barna;3060000;1;2007.1.15;
126;29;kék;1370000;1;2006.12.9;
127;16;kék;2190000;0;2006.12.1;
128;13;fehér;4530000;1;2007.1.27;
129;5;sárga;5820000;0;2007.4.9;
130;25;sárga;5780000;0;2006.12.19;
131;6;sárga;4330000;1;2007.4.12;2007.6.15
132;6;fekete;1460000;1;2006.11.19;
133;35;kék;2450000;1;2007.3.6;
134;3;fekete;1560000;0;2007.1.16;2007.2.8
135;35;fehér;5440000;0;2007.7.7;
136;30;sárga;3260000;0;2007.7.25;
137;15;barna;600000;0;2007.5.5;
138;16;lila;5290000;0;2006.12.11;
139;25;sárga;5000000;0;2006.12.31;2007.1.5
140;25;fekete;2880000;0;2007.6.25;
141;27;piros;5410000;0;2007.6.23;2007.7.10
142;29;sárga;3670000;0;2006.12.11;
143;13;fehér;5390000;0;2007.5.18;2007.6.14
144;33;zöld;5810000;0;2007.7.24;
145;10;zöld;5550000;0;2006.12.23;
146;34;fekete;5230000;0;2007.3.8;2007.4.15
147;31;zöld;6190000;0;2007.1.8;
148;33;barna;4750000;0;2007.5.19;2007.6.12
149;35;fekete;3080000;0;2006.11.24;
150;13;szürke;5690000;1;2007.4.21;
151;39;fehér;1280000;1;2006.10.16;
152;3;sárga;5360000;0;2007.5.26;2007.7.18
153;14;zöld;3730000;0;2007.2.7;
154;3;barna;2950000;1;2007.4.10;2007.4.18
155;6;kék;1920000;0;2007.5.19;
156;24;kék;5070000;1;2006.11.26;2007.2.4
157;10;kék;3140000;0;2007.3.12;
158;5;fekete;1420000;0;2007.2.17;2007.3.8
159;26;zöld;4530000;1;2007.5.12;
160;2;fekete;5200000;1;2006.11.17;
161;21;szürke;5020000;1;2007.5.26;2007.7.28
162;34;lila;4790000;1;2007.6.5;
163;39;kék;1740000;0;2007.1.12;
164;37;szürke;1510000;0;2006.12.7;
165;29;piros;3610000;0;2006.10.20;2006.10.31
166;26;barna;670000;0;2007.6.22;
167;13;kék;1340000;1;2007.3.25;
168;7;fekete;6320000;0;2007.4.16;
169;29;sárga;3950000;0;2006.12.18;
170;20;kék;3170000;0;2007.4.28;2007.5.19
171;26;zöld;5540000;0;2007.7.31;
172;9;zöld;3760000;0;2007.7.11;
173;3;kék;870000;1;2006.12.18;
174;38;zöld;6430000;0;2006.11.16;2006.11.21
175;29;lila;6490000;0;2007.5.12;
176;22;sárga;4060000;1;2007.6.20;2007.8.14
177;26;barna;4810000;1;2007.1.1;
178;34;kék;2350000;1;2007.4.28;
179;34;zöld;2420000;1;2007.6.18;2007.7.13
180;7;fekete;4600000;0;2007.6.25;
181;32;fekete;2080000;1;2007.1.30;2007.2.9
182;6;szürke;6210000;0;2007.6.4;
183;22;fekete;4740000;0;2007.5.3;2007.6.15
184;26;lila;3180000;1;2007.8.1;
185;40;sárga;5400000;1;2006.11.20;2007.1.24
186;2;kék;1560000;1;2007.6.15;
187;22;sárga;1070000;0;2007.5.25;
188;38;lila;1600000;1;2006.12.1;2007.2.2
189;19;barna;4050000;0;2006.11.9;
190;36;piros;5320000;1;2006.11.20;2007.1.3
191;27;zöld;2920000;0;2006.10.22;
192;21;zöld;4060000;0;2007.1.2;
193;14;sárga;2020000;1;2007.6.22;2007.9.5
194;19;piros;3030000;1;2007.6.25;
195;4;sárga;1550000;0;2007.5.24;2007.6.8
196;21;piros;2600000;1;2006.11.11;
197;12;szürke;4640000;0;2007.7.25;2007.9.29
198;35;fehér;3940000;1;2007.3.4;
199;15;fehér;1070000;0;2007.7.22;2007.8.21
200;19;kék;4120000;0;2007.4.20;
